trade_date,industry_count,avg_capital_flow_score,avg_flow_strength,avg_market_share,row_count
2019-03-26,304,0.1989,0.3597,0.0541,304
2019-03-27,304,0.1904,0.3392,0.054,304
2019-03-28,304,0.1938,0.337,0.054,304
2019-03-29,304,0.2056,0.3573,0.0527,304
2019-04-01,304,0.2208,0.3886,0.0534,304
2019-04-02,304,0.2124,0.3872,0.0538,304
2019-04-03,304,0.2026,0.3726,0.0532,304
2019-04-04,304,0.2133,0.3826,0.0539,304
2019-04-08,304,0.2165,0.3898,0.0544,304
2019-04-09,304,0.1971,0.3611,0.054,304
2019-04-10,304,0.2069,0.3666,0.0535,304
2019-04-11,304,0.2005,0.3607,0.0542,304
2019-04-12,304,0.1846,0.3326,0.0544,304
2019-04-15,304,0.2016,0.3491,0.0543,304
2019-04-16,304,0.1948,0.3466,0.0535,304
2019-04-17,304,0.2036,0.356,0.0543,304
2019-04-18,304,0.1952,0.3465,0.0546,304
2019-04-19,304,0.1932,0.3365,0.0544,304
2019-04-22,304,0.1994,0.344,0.054,304
2019-04-23,304,0.1939,0.3388,0.0541,304
2019-04-24,304,0.1849,0.32,0.0538,304
2019-04-25,304,0.2005,0.3458,0.0539,304
2019-04-26,304,0.1808,0.3176,0.0534,304
2019-04-29,304,0.1897,0.3298,0.0533,304
2019-04-30,304,0.167,0.2897,0.0534,304
2019-05-06,304,0.1945,0.3283,0.0531,304
2019-05-07,304,0.1756,0.3035,0.0531,304
2019-05-08,304,0.1784,0.2994,0.0537,304
2019-05-09,304,0.1694,0.2794,0.0532,304
2019-05-10,304,0.2011,0.3275,0.0533,304
2019-05-13,304,0.1724,0.294,0.0539,304
2019-05-14,304,0.1761,0.2851,0.0538,304
2019-05-15,304,0.1879,0.3038,0.0539,304
2019-05-16,304,0.1882,0.3102,0.0545,304
2019-05-17,304,0.1916,0.3245,0.0543,304
2019-05-20,304,0.1671,0.2865,0.0537,304
2019-05-21,304,0.1745,0.2859,0.0535,304
2019-05-22,304,0.1727,0.2822,0.053,304
2019-05-23,304,0.1724,0.2831,0.0529,304
2019-05-24,304,0.1611,0.261,0.0533,304
2019-05-27,304,0.1759,0.2812,0.0529,304
2019-05-28,304,0.1821,0.293,0.0533,304
2019-05-29,304,0.1683,0.2793,0.0527,304
2019-05-30,304,0.1765,0.2884,0.0537,304
2019-05-31,304,0.1728,0.2857,0.054,304
2019-06-03,304,0.1796,0.2938,0.0538,304
2019-06-04,304,0.1683,0.2804,0.0532,304
2019-06-05,304,0.167,0.2691,0.0529,304
2019-06-06,304,0.1699,0.2753,0.0535,304
2019-06-10,304,0.16,0.256,0.0525,304
2019-06-11,304,0.1936,0.3081,0.0527,304
2019-06-12,304,0.1756,0.2952,0.0527,304
2019-06-13,304,0.1747,0.2891,0.0534,304
2019-06-14,304,0.1759,0.2905,0.0537,304
2019-06-17,304,0.153,0.2529,0.0536,304
2019-06-18,304,0.1601,0.2516,0.0535,304
2019-06-19,304,0.1871,0.294,0.0525,304
2019-06-20,304,0.1861,0.3118,0.0514,304
2019-06-21,304,0.1894,0.3287,0.0524,304
2019-06-24,304,0.1715,0.3008,0.0522,304
2019-06-25,304,0.1768,0.2969,0.0519,304
2019-06-26,304,0.1624,0.2728,0.053,304
2019-06-27,304,0.1765,0.285,0.0522,304
2019-06-28,304,0.1673,0.2832,0.053,304
2019-07-01,304,0.1914,0.3147,0.0522,304
2019-07-02,304,0.1788,0.3074,0.0532,304
2019-07-03,304,0.1714,0.2931,0.0527,304
2019-07-04,304,0.1686,0.2811,0.0529,304
2019-07-05,304,0.1602,0.2664,0.0529,304
2019-07-08,304,0.1804,0.2965,0.0531,304
2019-07-09,304,0.1504,0.2546,0.0518,304
2019-07-10,304,0.1575,0.251,0.0526,304
2019-07-11,304,0.1604,0.2554,0.0523,304
2019-07-12,304,0.1547,0.249,0.0523,304
2019-07-15,304,0.1712,0.2735,0.052,304
2019-07-16,304,0.1554,0.2556,0.0524,304
2019-07-17,304,0.1626,0.2582,0.052,304
2019-07-18,304,0.1595,0.2573,0.0526,304
2019-07-19,304,0.1538,0.2455,0.0519,304
2019-07-22,304,0.1636,0.2657,0.0526,304
2019-07-23,304,0.1456,0.2347,0.0522,304
2019-07-24,304,0.1651,0.2569,0.0519,304
2019-07-25,304,0.1567,0.2519,0.0511,304
2019-07-26,304,0.1559,0.243,0.0524,304
2019-07-29,304,0.1503,0.2346,0.0519,304
2019-07-30,304,0.1603,0.2481,0.0522,304
2019-07-31,304,0.1542,0.2436,0.0527,304
2019-08-01,304,0.1577,0.2464,0.0526,304
2019-08-02,304,0.1705,0.2698,0.0525,304
2019-08-05,304,0.1578,0.2538,0.0522,304
2019-08-06,304,0.1833,0.2961,0.0525,304
2019-08-07,304,0.1536,0.2518,0.0524,304
2019-08-08,304,0.1569,0.2408,0.0519,304
2019-08-09,304,0.1643,0.2512,0.0521,304
2019-08-12,304,0.1533,0.2398,0.0509,304
2019-08-13,304,0.1554,0.2361,0.0517,304
2019-08-14,304,0.1659,0.2529,0.0511,304
2019-08-15,304,0.1633,0.2565,0.0516,304
2019-08-16,304,0.1686,0.2612,0.0515,304
2019-08-19,304,0.1856,0.2974,0.0509,304
2019-08-20,304,0.1736,0.2928,0.0515,304
2019-08-21,304,0.1687,0.2774,0.0517,304
2019-08-22,304,0.1713,0.2758,0.0519,304
2019-08-23,304,0.1727,0.276,0.0517,304
2019-08-26,304,0.171,0.2728,0.0516,304
2019-08-27,304,0.1849,0.2943,0.0518,304
2019-08-28,304,0.1734,0.2894,0.0523,304
2019-08-29,304,0.1707,0.2801,0.0519,304
2019-08-30,304,0.1806,0.2951,0.0515,304
2019-09-02,304,0.1753,0.2926,0.0516,304
2019-09-03,304,0.1762,0.2917,0.0512,304
2019-09-04,304,0.186,0.3051,0.0517,304
2019-09-05,304,0.2026,0.3392,0.0512,304
2019-09-06,304,0.1752,0.3075,0.0508,304
2019-09-09,304,0.1889,0.3214,0.0509,304
2019-09-10,304,0.1856,0.3213,0.0511,304
2019-09-11,304,0.1838,0.3144,0.0512,304
2019-09-12,304,0.1719,0.2934,0.0514,304
2019-09-16,304,0.1823,0.3042,0.0517,304
2019-09-17,304,0.1806,0.3117,0.0518,304
2019-09-18,304,0.1661,0.2829,0.0514,304
2019-09-19,304,0.172,0.2857,0.0516,304
2019-09-20,304,0.1751,0.2912,0.051,304
2019-09-23,304,0.1689,0.2822,0.0512,304
2019-09-24,304,0.1687,0.2804,0.0503,304
2019-09-25,304,0.1715,0.2874,0.0509,304
2019-09-26,304,0.1757,0.2967,0.0514,304
2019-09-27,304,0.154,0.2571,0.0515,304
2019-09-30,304,0.1503,0.2372,0.0515,304
2019-10-08,304,0.1596,0.2419,0.0517,304
2019-10-09,304,0.1585,0.2451,0.0515,304
2019-10-10,304,0.168,0.2589,0.0512,304
2019-10-11,304,0.1702,0.2706,0.0513,304
2019-10-14,304,0.1781,0.2888,0.0516,304
2019-10-15,304,0.1672,0.2798,0.052,304
2019-10-16,304,0.162,0.2639,0.0516,304
2019-10-17,304,0.1561,0.2487,0.052,304
2019-10-18,304,0.1694,0.2684,0.0523,304
2019-10-21,304,0.1554,0.2555,0.052,304
2019-10-22,304,0.1572,0.2485,0.0516,304
2019-10-23,304,0.1603,0.2515,0.0515,304
2019-10-24,304,0.1585,0.2466,0.0519,304
2019-10-25,304,0.1626,0.2537,0.0512,304
2019-10-28,304,0.1763,0.2831,0.0509,304
2019-10-29,304,0.169,0.2801,0.0499,304
2019-10-30,304,0.1642,0.271,0.0512,304
2019-10-31,304,0.162,0.263,0.0514,304
2019-11-01,304,0.1611,0.2562,0.0515,304
2019-11-04,304,0.1679,0.2604,0.0513,304
2019-11-05,304,0.1672,0.2628,0.0513,304
2019-11-06,304,0.165,0.2634,0.0517,304
2019-11-07,304,0.1564,0.2483,0.0514,304
2019-11-08,304,0.1658,0.2563,0.051,304
2019-11-11,304,0.1643,0.2637,0.0521,304
2019-11-12,304,0.153,0.2444,0.0518,304
2019-11-13,304,0.1563,0.2354,0.0517,304
2019-11-14,304,0.1614,0.2418,0.0511,304
2019-11-15,304,0.1627,0.249,0.0513,304
2019-11-18,304,0.155,0.2371,0.0516,304
2019-11-19,304,0.1684,0.2561,0.0516,304
2019-11-20,304,0.1633,0.256,0.0509,304
2019-11-21,304,0.1566,0.242,0.0516,304
2019-11-22,304,0.1766,0.2661,0.0513,304
2019-11-25,304,0.1634,0.2541,0.0522,304
2019-11-26,304,0.1607,0.2385,0.0525,304
2019-11-27,304,0.1573,0.2365,0.0524,304
2019-11-28,304,0.1534,0.2297,0.0523,304
2019-11-29,304,0.1567,0.2294,0.0515,304
2019-12-02,304,0.1562,0.2287,0.0518,304
2019-12-03,304,0.1591,0.2365,0.052,304
2019-12-04,304,0.1611,0.2398,0.0524,304
2019-12-05,304,0.1663,0.2524,0.0511,304
2019-12-06,304,0.1625,0.2527,0.0513,304
2019-12-09,304,0.1689,0.2581,0.0512,304
2019-12-10,304,0.1649,0.2606,0.0512,304
2019-12-11,304,0.1662,0.2609,0.0512,304
2019-12-12,304,0.1669,0.262,0.0516,304
2019-12-13,304,0.1789,0.2782,0.0508,304
2019-12-16,304,0.1803,0.2935,0.0506,304
2019-12-17,304,0.1911,0.3189,0.0506,304
2019-12-18,304,0.178,0.3057,0.0507,304
2019-12-19,304,0.1749,0.2972,0.0513,304
2019-12-20,304,0.1786,0.2997,0.0512,304
2019-12-23,304,0.173,0.2891,0.0518,304
2019-12-24,304,0.1606,0.2676,0.0519,304
2019-12-25,304,0.1694,0.2741,0.0509,304
2019-12-26,304,0.1728,0.2808,0.0512,304
2019-12-27,304,0.1855,0.3029,0.0515,304
2019-12-30,304,0.1757,0.2964,0.0508,304
2019-12-31,304,0.1502,0.2386,0.0517,304
2020-01-02,304,0.1962,0.3191,0.0516,304
2020-01-03,304,0.1856,0.3191,0.0524,304
2020-01-06,304,0.1968,0.3341,0.0527,304
2020-01-07,304,0.185,0.3251,0.0527,304
2020-01-08,304,0.1916,0.3334,0.0527,304
2020-01-09,304,0.1791,0.3116,0.0522,304
2020-01-10,304,0.177,0.3032,0.0521,304
2020-01-13,304,0.1803,0.3009,0.0519,304
2020-01-14,304,0.1874,0.3138,0.0527,304
2020-01-15,304,0.1744,0.297,0.0525,304
2020-01-16,304,0.175,0.2905,0.0521,304
2020-01-17,304,0.1719,0.2819,0.0518,304
2020-01-20,304,0.1793,0.2901,0.0518,304
2020-01-21,304,0.1773,0.2941,0.0518,304
2020-01-22,304,0.1747,0.2912,0.0511,304
2020-01-23,304,0.1898,0.3152,0.0516,304
2020-02-03,304,0.1517,0.2028,0.0494,304
2020-02-04,304,0.2113,0.3529,0.052,304
2020-02-05,304,0.1889,0.3298,0.0515,304
2020-02-06,304,0.194,0.3327,0.0511,304
2020-02-07,304,0.1934,0.3308,0.0508,304
2020-02-10,304,0.1959,0.3335,0.0519,304
2020-02-11,304,0.1855,0.3186,0.0521,304
2020-02-12,304,0.1852,0.3116,0.0514,304
2020-02-13,304,0.1919,0.3197,0.0515,304
2020-02-14,304,0.1808,0.3045,0.0509,304
2020-02-17,304,0.1998,0.3347,0.0516,304
2020-02-18,304,0.1991,0.3425,0.0515,304
2020-02-19,304,0.199,0.3433,0.0514,304
2020-02-20,304,0.1991,0.3467,0.051,304
2020-02-21,304,0.2006,0.3516,0.0506,304
2020-02-24,304,0.204,0.3563,0.0511,304
2020-02-25,304,0.212,0.3721,0.0507,304
2020-02-26,304,0.2048,0.3668,0.0514,304
2020-02-27,304,0.1923,0.3442,0.0515,304
2020-02-28,304,0.2082,0.3646,0.0519,304
2020-03-02,304,0.1953,0.3425,0.0518,304
2020-03-03,304,0.2078,0.3593,0.0517,304
2020-03-04,304,0.1923,0.3431,0.0516,304
2020-03-05,304,0.2126,0.3719,0.0521,304
2020-03-06,304,0.1971,0.3568,0.0531,304
2020-03-09,304,0.2083,0.3661,0.0531,304
2020-03-10,304,0.2011,0.3615,0.0525,304
2020-03-11,304,0.197,0.3539,0.0527,304
2020-03-12,304,0.1897,0.3352,0.053,304
2020-03-13,304,0.2034,0.351,0.0527,304
2020-03-16,304,0.1981,0.3476,0.0524,304
2020-03-17,304,0.1865,0.3303,0.0524,304
2020-03-18,304,0.1893,0.3263,0.0521,304
2020-03-19,304,0.1861,0.3194,0.0517,304
2020-03-20,304,0.1796,0.3064,0.0521,304
2020-03-23,304,0.1825,0.3087,0.0526,304
2020-03-24,304,0.1845,0.3105,0.0523,304
2020-03-25,304,0.189,0.3198,0.0526,304
2020-03-26,304,0.1772,0.306,0.053,304
2020-03-27,304,0.1793,0.3025,0.053,304
2020-03-30,304,0.1807,0.3043,0.0532,304
2020-03-31,304,0.1728,0.2919,0.0537,304
2020-04-01,304,0.1779,0.2918,0.0533,304
2020-04-02,304,0.1777,0.2932,0.0526,304
2020-04-03,304,0.1784,0.2948,0.0531,304
2020-04-07,304,0.1953,0.3239,0.0532,304
2020-04-08,304,0.1844,0.3183,0.0532,304
2020-04-09,304,0.1812,0.3147,0.0527,304
2020-04-10,304,0.1847,0.3192,0.0527,304
2020-04-13,304,0.1629,0.2809,0.0527,304
2020-04-14,304,0.1785,0.2883,0.0523,304
2020-04-15,304,0.1826,0.3017,0.0524,304
2020-04-16,304,0.1725,0.2898,0.0522,304
2020-04-17,304,0.1882,0.3077,0.0521,304
2020-04-20,304,0.1739,0.2918,0.0526,304
2020-04-21,304,0.1816,0.3015,0.0523,304
2020-04-22,304,0.1795,0.3,0.0531,304
2020-04-23,304,0.1884,0.3115,0.0534,304
2020-04-24,304,0.1821,0.3115,0.0535,304
2020-04-27,304,0.1733,0.2918,0.0538,304
2020-04-28,304,0.1911,0.3188,0.0534,304
2020-04-29,304,0.1686,0.2854,0.0537,304
2020-04-30,304,0.186,0.3014,0.0528,304
2020-05-06,304,0.1823,0.299,0.0526,304
2020-05-07,304,0.1815,0.3011,0.0529,304
2020-05-08,304,0.1827,0.3033,0.0525,304
2020-05-11,304,0.1843,0.3035,0.0529,304
2020-05-12,304,0.1757,0.2903,0.0532,304
2020-05-13,304,0.1761,0.2871,0.0533,304
2020-05-14,304,0.181,0.2951,0.053,304
2020-05-15,304,0.1787,0.2902,0.0524,304
2020-05-18,304,0.1852,0.3037,0.052,304
2020-05-19,304,0.1787,0.2953,0.053,304
2020-05-20,304,0.1866,0.3061,0.0528,304
2020-05-21,304,0.1791,0.2979,0.0533,304
2020-05-22,304,0.1772,0.295,0.0533,304
2020-05-25,304,0.1665,0.2717,0.0534,304
2020-05-26,304,0.1774,0.2839,0.0534,304
2020-05-27,304,0.1844,0.295,0.0538,304
2020-05-28,304,0.1795,0.2958,0.0538,304
2020-05-29,304,0.1791,0.2917,0.054,304
2020-06-01,304,0.1963,0.3231,0.0532,304
2020-06-02,304,0.1905,0.3238,0.0531,304
2020-06-03,304,0.1903,0.3233,0.0527,304
2020-06-04,304,0.1814,0.3098,0.0534,304
2020-06-05,304,0.182,0.3045,0.0532,304
2020-06-08,304,0.1837,0.3022,0.0528,304
2020-06-09,304,0.1756,0.2896,0.0527,304
2020-06-10,304,0.1752,0.2861,0.0527,304
2020-06-11,304,0.1863,0.301,0.0526,304
2020-06-12,304,0.1808,0.2957,0.0529,304
2020-06-15,304,0.1879,0.3056,0.0527,304
2020-06-16,304,0.1775,0.2958,0.0522,304
2020-06-17,304,0.1832,0.3039,0.0521,304
2020-06-18,304,0.1789,0.2953,0.0516,304
2020-06-19,304,0.1808,0.2962,0.0515,304
2020-06-22,304,0.1825,0.3001,0.0513,304
2020-06-23,304,0.1768,0.2911,0.0515,304
2020-06-24,304,0.1749,0.2849,0.0516,304
2020-06-29,304,0.1737,0.2824,0.0517,304
2020-06-30,304,0.1748,0.2859,0.0511,304
2020-07-01,304,0.1881,0.3049,0.0513,304
2020-07-02,304,0.1961,0.3268,0.0509,304
2020-07-03,304,0.1969,0.3394,0.0504,304
2020-07-06,304,0.2229,0.3879,0.0515,304
2020-07-07,304,0.219,0.3952,0.0514,304
2020-07-08,304,0.2057,0.38,0.0511,304
2020-07-09,304,0.2196,0.3959,0.0518,304
2020-07-10,304,0.2114,0.3896,0.0519,304
2020-07-13,304,0.2151,0.3928,0.0521,304
2020-07-14,304,0.2146,0.394,0.0526,304
2020-07-15,304,0.2085,0.3844,0.0524,304
2020-07-16,304,0.205,0.3754,0.0519,304
2020-07-17,304,0.1865,0.3366,0.0519,304
2020-07-20,304,0.2009,0.3467,0.0525,304
2020-07-21,304,0.1913,0.3366,0.0528,304
2020-07-22,304,0.1973,0.3439,0.0522,304
2020-07-23,304,0.2007,0.3517,0.0525,304
2020-07-24,304,0.2048,0.3616,0.0523,304
2020-07-27,304,0.1767,0.3138,0.0526,304
2020-07-28,304,0.1841,0.3123,0.0528,304
2020-07-29,304,0.1929,0.3268,0.052,304
2020-07-30,304,0.1955,0.3348,0.0526,304
2020-07-31,304,0.1937,0.3376,0.0522,304
2020-08-03,304,0.207,0.3622,0.0525,304
2020-08-04,304,0.2047,0.3631,0.053,304
2020-08-05,304,0.1972,0.3506,0.0533,304
2020-08-06,304,0.1977,0.3499,0.0522,304
2020-08-07,304,0.1952,0.3456,0.0518,304
2020-08-10,304,0.1911,0.3338,0.052,304
2020-08-11,304,0.1977,0.3466,0.053,304
2020-08-12,304,0.1935,0.341,0.0534,304
2020-08-13,304,0.1826,0.3195,0.0538,304
2020-08-14,304,0.1832,0.312,0.0534,304
2020-08-17,304,0.1999,0.3388,0.0517,304
2020-08-18,304,0.1955,0.3419,0.0532,304
2020-08-19,304,0.1967,0.3453,0.0536,304
2020-08-20,304,0.1806,0.3149,0.0538,304
2020-08-21,304,0.1804,0.3084,0.0533,304
2020-08-24,304,0.1818,0.3099,0.053,304
2020-08-25,304,0.1903,0.3275,0.0528,304
2020-08-26,304,0.1893,0.3328,0.0529,304
2020-08-27,304,0.1776,0.3124,0.0531,304
2020-08-28,304,0.1855,0.3164,0.0524,304
2020-08-31,304,0.191,0.3269,0.0523,304
2020-09-01,304,0.1775,0.3101,0.0529,304
2020-09-02,304,0.1927,0.3298,0.0526,304
2020-09-03,304,0.1877,0.3269,0.0527,304
2020-09-04,304,0.1794,0.313,0.0529,304
2020-09-07,304,0.1979,0.3352,0.0529,304
2020-09-08,304,0.1858,0.326,0.0528,304
2020-09-09,304,0.2015,0.3482,0.0533,304
2020-09-10,304,0.1855,0.3361,0.0534,304
2020-09-11,304,0.1675,0.2942,0.0532,304
2020-09-14,304,0.1839,0.303,0.0533,304
2020-09-15,304,0.181,0.2982,0.0535,304
2020-09-16,304,0.1746,0.2887,0.0533,304
2020-09-17,304,0.1812,0.2929,0.0531,304
2020-09-18,304,0.1819,0.3003,0.052,304
2020-09-21,304,0.1728,0.289,0.0522,304
2020-09-22,304,0.1683,0.2827,0.0522,304
2020-09-23,304,0.1675,0.2746,0.0525,304
2020-09-24,304,0.1763,0.2892,0.0534,304
2020-09-25,304,0.1606,0.2657,0.0529,304
2020-09-28,304,0.1626,0.259,0.0533,304
2020-09-29,304,0.1645,0.2569,0.053,304
2020-09-30,304,0.1596,0.251,0.0529,304
2020-10-09,304,0.1814,0.2811,0.0528,304
2020-10-12,304,0.195,0.3186,0.0521,304
2020-10-13,304,0.1761,0.3025,0.0524,304
2020-10-14,304,0.1847,0.3031,0.0531,304
2020-10-15,304,0.1775,0.297,0.0534,304
2020-10-16,304,0.1719,0.2848,0.0532,304
2020-10-19,304,0.1751,0.286,0.053,304
2020-10-20,304,0.1695,0.2794,0.0529,304
2020-10-21,304,0.1778,0.2881,0.0533,304
2020-10-22,304,0.1724,0.2816,0.0528,304
2020-10-23,304,0.176,0.2877,0.0529,304
2020-10-26,304,0.1663,0.2748,0.052,304
2020-10-27,304,0.1734,0.2746,0.0531,304
2020-10-28,304,0.1823,0.2884,0.0528,304
2020-10-29,304,0.1795,0.2914,0.0527,304
2020-10-30,304,0.1878,0.3112,0.053,304
2020-11-02,304,0.1773,0.2977,0.0532,304
2020-11-03,304,0.1761,0.295,0.053,304
2020-11-04,304,0.1736,0.2858,0.0534,304
2020-11-05,304,0.1868,0.3034,0.0531,304
2020-11-06,304,0.1832,0.3012,0.0532,304
2020-11-09,304,0.1963,0.326,0.0525,304
2020-11-10,304,0.1872,0.32,0.0531,304
2020-11-11,304,0.1805,0.3067,0.0531,304
2020-11-12,304,0.1737,0.2901,0.0537,304
2020-11-13,304,0.1728,0.2838,0.0529,304
2020-11-16,304,0.1872,0.3053,0.0537,304
2020-11-17,304,0.1854,0.3086,0.0536,304
2020-11-18,304,0.182,0.3026,0.0533,304
2020-11-19,304,0.1783,0.3015,0.0536,304
2020-11-20,304,0.1771,0.2992,0.0537,304
2020-11-23,304,0.1923,0.3178,0.053,304
2020-11-24,304,0.1762,0.3011,0.0535,304
2020-11-25,304,0.1842,0.3104,0.0537,304
2020-11-26,304,0.1704,0.2896,0.0535,304
2020-11-27,304,0.1732,0.2904,0.053,304
2020-11-30,304,0.1855,0.3007,0.0511,304
2020-12-01,304,0.1757,0.2951,0.0516,304
2020-12-02,304,0.1807,0.3035,0.0519,304
2020-12-03,304,0.1763,0.2977,0.0525,304
2020-12-04,304,0.1699,0.284,0.0523,304
2020-12-07,304,0.1746,0.2878,0.0529,304
2020-12-08,304,0.1677,0.2784,0.0525,304
2020-12-09,304,0.1809,0.2969,0.0525,304
2020-12-10,304,0.169,0.2839,0.0529,304
2020-12-11,304,0.1849,0.3052,0.0532,304
2020-12-14,304,0.1692,0.2834,0.0532,304
2020-12-15,304,0.1716,0.2782,0.053,304
2020-12-16,304,0.1744,0.2866,0.0531,304
2020-12-17,304,0.1802,0.297,0.0525,304
2020-12-18,304,0.1754,0.2874,0.0531,304
2020-12-21,304,0.1819,0.2924,0.0531,304
2020-12-22,304,0.1903,0.3143,0.0533,304
2020-12-23,304,0.1821,0.303,0.0528,304
2020-12-24,304,0.1823,0.308,0.0534,304
2020-12-25,304,0.1788,0.2951,0.0533,304
2020-12-28,304,0.1902,0.3073,0.0534,304
2020-12-29,304,0.1811,0.2993,0.053,304
2020-12-30,304,0.18,0.2909,0.0524,304
2020-12-31,304,0.161,0.2383,0.0517,304
2021-01-04,304,0.1977,0.3188,0.0521,304
2021-01-05,304,0.1973,0.3256,0.0521,304
2021-01-06,304,0.1929,0.323,0.0524,304
2021-01-07,304,0.2012,0.3374,0.0529,304
2021-01-08,304,0.1877,0.31,0.0522,304
2021-01-11,304,0.197,0.3175,0.0521,304
2021-01-12,304,0.1823,0.2914,0.0506,304
2021-01-13,304,0.2,0.3135,0.0516,304
2021-01-14,304,0.1886,0.3026,0.0521,304
2021-01-15,304,0.1879,0.3001,0.0516,304
2021-01-18,304,0.1874,0.2988,0.0521,304
2021-01-19,304,0.1936,0.306,0.0524,304
2021-01-20,304,0.1825,0.2911,0.0524,304
2021-01-21,304,0.197,0.3087,0.0525,304
2021-01-22,304,0.1941,0.3107,0.0526,304
2021-01-25,304,0.1985,0.314,0.0522,304
2021-01-26,304,0.1851,0.2982,0.0524,304
2021-01-27,304,0.1853,0.2903,0.053,304
2021-01-28,304,0.1864,0.2909,0.0528,304
2021-01-29,304,0.1904,0.3038,0.0527,304
2021-02-01,304,0.1853,0.2948,0.0532,304
2021-02-02,304,0.1874,0.2914,0.0528,304
2021-02-03,304,0.1918,0.298,0.0532,304
2021-02-04,304,0.1899,0.3013,0.0526,304
2021-02-05,304,0.1879,0.292,0.0527,304
2021-02-08,304,0.1801,0.2746,0.0525,304
2021-02-09,304,0.1837,0.2744,0.0525,304
2021-02-10,304,0.1821,0.2708,0.052,304
2021-02-18,304,0.2011,0.3013,0.0524,304
2021-02-19,304,0.1962,0.3112,0.0532,304
2021-02-22,304,0.2125,0.3438,0.0534,304
2021-02-23,304,0.1888,0.3137,0.0535,304
2021-02-24,304,0.1959,0.3112,0.0531,304
2021-02-25,304,0.1886,0.3027,0.0529,304
2021-02-26,304,0.1882,0.2975,0.053,304
2021-03-01,304,0.1883,0.2994,0.0536,304
2021-03-02,304,0.192,0.3019,0.0537,304
2021-03-03,304,0.185,0.2987,0.0538,304
2021-03-04,304,0.1965,0.3142,0.0538,304
2021-03-05,304,0.1846,0.3058,0.0536,304
2021-03-08,304,0.1988,0.3219,0.0539,304
2021-03-09,304,0.1967,0.3283,0.0538,304
2021-03-10,304,0.1769,0.2927,0.0537,304
2021-03-11,304,0.1839,0.2907,0.0534,304
2021-03-12,304,0.1856,0.2944,0.0535,304
2021-03-15,304,0.1829,0.2889,0.0538,304
2021-03-16,304,0.1832,0.2921,0.0543,304
2021-03-17,304,0.185,0.298,0.0542,304
2021-03-18,304,0.1888,0.3047,0.0543,304
2021-03-19,304,0.1909,0.3109,0.0543,304
2021-03-22,304,0.1874,0.3091,0.0541,304
2021-03-23,304,0.1911,0.3152,0.0542,304
2021-03-24,304,0.1856,0.3055,0.0535,304
2021-03-25,304,0.1793,0.2951,0.0539,304
2021-03-26,304,0.185,0.2948,0.0537,304
2021-03-29,304,0.1855,0.3009,0.0539,304
2021-03-30,304,0.1851,0.3046,0.0543,304
2021-03-31,304,0.1811,0.2924,0.0543,304
2021-04-01,304,0.1804,0.2917,0.0546,304
2021-04-02,304,0.1873,0.2989,0.0542,304
2021-04-06,304,0.1818,0.2958,0.0546,304
2021-04-07,304,0.1921,0.3102,0.0544,304
2021-04-08,304,0.1931,0.3199,0.0543,304
2021-04-09,304,0.1843,0.3022,0.0545,304
2021-04-12,304,0.1936,0.3106,0.0543,304
2021-04-13,304,0.1807,0.2984,0.054,304
2021-04-14,304,0.1822,0.2934,0.0537,304
2021-04-15,304,0.1822,0.2966,0.0539,304
2021-04-16,304,0.1853,0.3071,0.0543,304
2021-04-19,304,0.1956,0.3189,0.0536,304
2021-04-20,304,0.193,0.3219,0.0538,304
2021-04-21,304,0.182,0.3044,0.0535,304
2021-04-22,304,0.1855,0.3016,0.0536,304
2021-04-23,304,0.1899,0.3082,0.0537,304
2021-04-26,304,0.1938,0.3114,0.0535,304
2021-04-27,304,0.1816,0.3029,0.0535,304
2021-04-28,304,0.1837,0.2967,0.053,304
2021-04-29,304,0.1887,0.3013,0.0531,304
2021-04-30,304,0.1901,0.3046,0.0535,304
2021-05-06,304,0.1875,0.2961,0.0533,304
2021-05-07,304,0.1913,0.3042,0.0538,304
2021-05-10,304,0.1883,0.3045,0.0539,304
2021-05-11,304,0.1885,0.3057,0.0536,304
2021-05-12,304,0.1856,0.3018,0.0543,304
2021-05-13,304,0.1886,0.3047,0.0539,304
2021-05-14,304,0.1909,0.3108,0.0524,304
2021-05-17,304,0.1927,0.3129,0.053,304
2021-05-18,304,0.179,0.291,0.0535,304
2021-05-19,304,0.1883,0.2977,0.0532,304
2021-05-20,304,0.1919,0.3054,0.0532,304
2021-05-21,304,0.1827,0.294,0.053,304
2021-05-24,304,0.1883,0.2982,0.0527,304
2021-05-25,304,0.1946,0.3073,0.0516,304
2021-05-26,304,0.1924,0.3164,0.0524,304
2021-05-27,304,0.1918,0.3158,0.0533,304
2021-05-28,304,0.1944,0.3193,0.0525,304
2021-05-31,304,0.1935,0.3172,0.0529,304
2021-06-01,304,0.1998,0.3269,0.0535,304
2021-06-02,304,0.199,0.3337,0.0539,304
2021-06-03,304,0.1948,0.3257,0.0535,304
2021-06-04,304,0.1919,0.3182,0.0528,304
2021-06-07,304,0.1921,0.3148,0.0529,304
2021-06-08,304,0.1918,0.3174,0.0524,304
2021-06-09,304,0.1864,0.3122,0.0532,304
2021-06-10,304,0.1936,0.3184,0.0527,304
2021-06-11,304,0.1966,0.3245,0.0525,304
2021-06-15,304,0.1858,0.314,0.0529,304
2021-06-16,304,0.1835,0.3004,0.0527,304
2021-06-17,304,0.1802,0.2932,0.0524,304
